fw_ID,model,S,connectance,mx_tl,intervality,isolated,illogical
atn_42_20,ATN,14,0.1683673469387755,3.1800000000000006,0,0,0
atn_42_40,ATN,21,0.2925170068027211,3.587141663751512,0,0,0
atn_43_10,ATN,7,0.22448979591836735,4.791666666666666,0,0,0
atn_43_20,ATN,10,0.32,3.549382716049382,0,0,0
atn_43_40,ATN,22,0.25,4.616344080687831,0,0,0
atn_44_10,ATN,5,0.32,2.5,0,0,0
atn_44_20,ATN,7,0.12244897959183673,3.0,0,0,0
atn_44_40,ATN,39,0.1301775147928994,4.132755331088664,0,0,0
atn_45_10,ATN,2,0.25,2.0,0,0,0
atn_45_20,ATN,9,0.13580246913580246,3.291666666666667,0,0,0
atn_45_40,ATN,27,0.18381344307270234,4.258007428177883,0,0,0
atn_46_10,ATN,6,0.19444444444444445,2.8333333333333335,0,0,0
atn_46_20,ATN,6,0.19444444444444445,3.75,0,0,0
atn_46_40,ATN,22,0.2396694214876033,3.6888932980599654,0,0,0
atn_47_10,ATN,5,0.2,4.0,0,0,0
atn_47_20,ATN,6,0.3055555555555556,3.7777777777777777,0,0,0
atn_47_40,ATN,27,0.2167352537722908,4.733666996179212,0,0,0
atn_48_10,ATN,4,0.125,2.0,0,0,0
atn_48_20,ATN,7,0.14285714285714285,3.3333333333333335,0,0,0
atn_48_40,ATN,16,0.28125,3.628472222222222,0,0,0
atn_49_10,ATN,4,0.3125,2.333333333333333,0,0,0
atn_49_20,ATN,4,0.1875,1.9999999999999998,0,0,0
atn_49_40,ATN,36,0.13194444444444445,4.424984652104154,0,0,0
atn_4_10,ATN,5,0.16,4.0,0,0,0
atn_4_20,ATN,20,0.125,4.4053125,0,0,0
atn_4_40,ATN,11,0.30578512396694213,3.1333333333333333,0,0,0
atn_50_10,ATN,,,,,,
atn_50_20,ATN,20,0.1375,5.394000000000001,0,0,0
atn_50_40,ATN,27,0.1673525377229081,4.280531156826189,0,0,0
atn_51_10,ATN,4,0.3125,3.25,0,0,0
atn_51_20,ATN,15,0.19555555555555557,5.685206349206349,0,0,0
atn_51_40,ATN,20,0.18,4.322222222222222,0,0,0
atn_52_10,ATN,7,0.24489795918367346,2.7499999999999996,0,0,0
atn_52_20,ATN,3,0.2222222222222222,3.0,0,0,0
atn_52_40,ATN,12,0.2638888888888889,3.2500000000000004,0,0,0
atn_53_10,ATN,7,0.14285714285714285,5.333333333333334,0,0,0
atn_53_20,ATN,19,0.14681440443213298,4.335481481481481,0,0,0
atn_53_40,ATN,40,0.13875,4.627223584973613,0,0,0
